,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
28,RED AMIGO DAL S.A.P.I. of C.V. S.O.F.O.M. E.N.R,Data Scientist,Ciudad de México,"About us

We are the financial technology company in Mexico that has helped more than 70k customers to make their plans come true.
Our purpose is to support small and medium enterprises in the country to fulfill their dreams, through our solutions (financing, credit card and payments) to help solve their main problems, seeking to be the best ally of entrepreneurs, contributing to the community, the country and the world

About the Role

We are looking for a detail-oriented data scientist with a strong background in statistics and/or mathematics to help us lift our risk and collection modeling to the next level. We value self-starters that proactively look for improvements and new ideas.
Working in a multi-disciplinary environment and communicating your results and insights in a clear manner comes naturally to you.

Responsibilities

Build predictive models from development through testing and monitoring, for customer acquisition, underwriting, and customer management.
Explore and test new data sources, algorithms and model features to improve our risk and collections models or to identify growth opportunities.
Develop insights and data visualizations to solve complex problems, and communicate ideas to internal stakeholders.
Processing, cleansing, and verifying the integrity of data used for analysis.
Creating automated reports in order to track models performance in a timely and
accurate manner.
Collaborate with data engineers and ML engineer to develop automated orchestration of data implemented and model pipelines
Document the methodology used, results obtained, in a clear manner for
reproducible research and help other team members to solve problems in a faster way.
Train and mentor junior team members Data & ML engineers and Data Scientists.

Experience Required

Strong knowledge of Python and SQL
Degree in a quantitative field (Statistics, Mathematics, Computer Science, or related field).
Knowledge of traditional machine learning models, supervised and unsupervised.
Experience working with Risk and Collections models.
Statistics fundamentals: most common distributions, generalized linear models, hierarchical models (desirable), A/B testing, bootstrap, experiment design, simulation.
Strong self-management, drive, and organization.
The ability to multi-task in a fast-paced environment is essential.
Bonus
Knowledge of Bayesian modeling
Experience in the financial sector
Mostrar menos
Reportar",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29,Aiwifi,Data Scientist,Ciudad de México,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve platform. We will rely on you to build data products to extract valuable business insights.

In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.

Your goal will be to help our company analyze trends to make better decisions.

Responsibilities

Undertake to preprocess of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modelling
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams
Requirements

Proven experience as a Data Scientist or Data Analyst
Experience in data mining
Understanding of machine-learning and operations research
Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset
Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)
Analytical mind and business acumen
Strong math skills (e.g. statistics, algebra)
Problem-solving aptitude
Excellent communication and presentation skills
BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred
Mostrar menos
Reportar",#N/A,No se sabe,Empresa - privada,#N/A,#N/A,#N/A,Desconocido/no corresponde
30,"Stori Card - MX
4.0",Data Scientist,Ciudad de México,"About Stori
Stori is a fast-growing, venture-backed financial technology company, on a mission to democratize credit access for 400 million underbanked LatAm consumers. Stori currently operates in Mexico and has a global team with offices in Arlington Virginia, Mexico City, and Asia. We have quickly made our mark as one of the top digital banks in Mexico with more than two million applicants for our credit card product since launching.
Stori is one of the top-funded startups in the region with US$250 million raised to date. We are backed by top global venture capital funds, such as GGV Capital, GIC, Lightspeed Venture Partners, General Catalyst, Goodwater Capital, Mexico's Tresalia Capital, Vision Plus Capital, BAI Capital and Source Code Capital; who have successfully invested in startups such as Affirm, Airbnb, Alibaba, Stripe, and TikTok.
Stori has a standout founder team among fintechs, leveraging 100+ years of accumulated experience in consumer finance, banking and technology across Mastercard, Intel, Capital One, Morgan Stanley, GE Capital, and HSBC in the U.S., Mexico and Asia. The team has launched and managed many multi-million-customer credit card products globally, providing a wide breadth of experience and knowledge to our team.
We welcome diversity of background, experience and thinking. Storians are passionate about our mission and take pride in the products we build. Our culture thrives off of a flat structure and an inclusive environment where all of our employees can be their authentic selves, with boundless opportunities for professional growth.
Responsibilities
As a customer-centered company, customer understanding is the top mission of data scientists at Stori. Among all the sources to be used in customer understanding, Stori data scientists use ""Data"" as the most reliable one. On any given day you will be challenged on three types of work – Modeling and Monitoring, Data Analytical Problem Solving and Innovation:
Modeling (guided or independently):
Communicate with the business intent holders to understand the new business initiative
Design a model as a product
Data collection, processing and transformation
Explore new sources
Build, demonstrate and maintain modeling solutions from end to end
Analytical Problem Solving
Translate vague context and phenomenon into structure analytical problems and leverage statistical knowledge, machine learning models and visualization to derive meaningful insights on business intents and strategies using data
Design A/B testing for business intent measurement.
Perform testing analysis on regular basis
Innovation
We embrace rapid development in technology and science. You will be encouraged to explore advanced tools or information sources that can help the team in problem understanding, problem solving and product maintenance
An ideal team partner shares: Passion, Curiosity and Problem Solving
As a data scientist at Stori, you will be facing varied problems throughout the life cycle of credit. Though we encourage talents with varied backgrounds to join us, to solve the puzzles with us together, we believe these are the keys:
Passion for data: Data is the foundation of everything at the Stori Data Science team. We believe in the power of machine learning but data is always our most trustworthy friend.
Curiosity: We believe curiosity is the best mentor to data scientists. We are not only looking for data scientists, but more importantly, we are looking for partners that can inspire us with their wonders.
Problem solving: Data scientists at Stori solve puzzles. We use data to understand our customers, we also use data to provide solutions in helping customers. The journey of problem solving can be sometimes challenging but mostly fun if you have Passion and Curiosity.
Basic Qualifications
Bachelor degree in Computer Science, AI, Physics, Statistics, Applied Math or other quantitative fields
3+ years of work experience with Python and SQL programming for data analysis
3+ years of work experience in data analysis or data science
Solid oral and written communication skills, especially around analytical concepts and methods
Demonstrated ability to work under pressure and to meet tight deadlines with proactiveness, decisiveness and flexibility
Passion in problem solving with data and data analytics
Advanced level of english
Preferred Qualifications
2+ years of experience with credit industry
3+ years of work experience with Python programming
3+ years of work experience with Machine Learning or Statistical Modeling
Working experience with AWS
Experience managing projects independently
Passion in problem solving with data and data analytics
Self-motivated with intellectual curiosity
Proven ability to quickly learn new technologies, concepts and tools
What we offer
Make a positive impact on the lives of our customers via financial inclusion
Professional development opportunities
International exposure & work experience
Competitive salaries
Flexible schedule including remote work
Generous vacation
English classes
Mental health support
Extended maternity and paternity leave
Yoga and exercise classes
Company swag
Legally required benefits
Mostrar menos
Reportar",#N/A,De 51 a 200 empleados,Empresa - privada,Finanzas,Banca y Servicios de crédito,2018,Desconocido/no corresponde
31,"Hogares Unión S. A de C. V
3.3",Data Analyst,México,"Somos parte de GIM desarrollos una empresa con más de 40 años de experiencia como líderes en el sector inmobiliario, en constante transformación digital y con un foco centrado en la experiencia de compra de nuestros clientes que busca integrar talento con esta misma visión.

DATA ANALYST




Te consideras una persona experta en recopilar, analizar e interpretar datos para optimizar las estrategias de marketing y ventas

¿Cuáles serán tus actividades?

Responsable de validar que los informes creados en Power BI siempre muestren la información correcta

Recopilar y limpiar datos de diversas fuentes, incluyendo el CRM (HubSpot), sistemas de gestión de bases de datos y otras fuentes internas y externas relevantes.

Apoyar al Data Scientist a realizar análisis exploratorio de datos para identificar patrones, tendencias y relaciones que puedan afectar las tasas de conversión.

Colaborar con el equipo de Inteligencia para aplicar técnicas estadísticas y análisis descriptivo para generar informes y visualizaciones que resuman y presenten los resultados obtenidos.

Monitorear KPIs clave y métricas relevantes para medir el desempeño de marketing y ventas, como la tasa de conversión, el costo por adquisición y el tiempo de ciclo de ventas.

Realizar análisis de cohortes, análisis de embudo de ventas y segmentación de clientes para identificar oportunidades de mejora en el proceso de conversión.

Colaborar con el equipo de marketing y ventas para evaluar y optimizar las estrategias actuales en función de los resultados obtenidos.

Mantenerse actualizado sobre las tendencias y las mejores prácticas en análisis de datos, herramientas y técnicas de visualización.

¿Qué esperamos de ti?

Experiencia previa en análisis de datos y manipulación de bases de datos utilizando herramientas como Excel, SQL, Python, R u otras herramientas similares.

Fuertes habilidades analíticas y capacidad para interpretar y comunicar los resultados de manera clara y concisa.

Conocimiento de técnicas estadísticas y habilidades en la aplicación de análisis descriptivo y modelos predictivos.

Experiencia en el uso de herramientas de visualización de datos como Power BI, Tableau o herramientas similares.

Capacidad para trabajar en equipo y colaborar con diferentes departamentos para comprender y abordar las necesidades comerciales relacionadas con las tasas de conversión.

¿Qué ofrecemos?

Una empresa en constante transformación con ambiente que favorece la creatividad, la expresión de las ideas, la innovación y puesta en marcha de diversos proyectos

Sueldo Base

Formato de trabajo Híbrido

Prestaciones básicas de ley

Entrenamiento constante y crecimiento profesional
Mostrar menos
Reportar","$20,000 /mes (est.)",De 1001 a 5000 empleados,Empresa - privada,#N/A,#N/A,#N/A,Desconocido/no corresponde
32,"Alten Mexico
3.4",Data Scientist Engineer,Ciudad de México,"We are ALTEN Mexico, an engineering company that provides specialized solutions for engineering, technology and product development projects. Our team of more than 250 people work across industries including: Automotive, Energy, Aeronautics, Banking & insurance, Telecom & Multimedia and Rail. We offer project design development, test/validation, programming, implementation, and manufacturing solutions through different levels of service that ensure quality and autonomy to our client’s projects.

ALTEN Mexico is a subsidiary of ALTEN Group. ALTEN group has been a leader in engineering and information technology for more than 30 years and operates in 30 countries across Europe, North America, Asia, Africa, and the Middle East and employs more than 46,000 people, 88% of whom are engineers. The company covers the whole development cycle and offers a choice of service levels. Thanks to our global experience and strong technical knowledge we can develop and support from the original concept to the design, product development, production systems and implementation.

In Mexico we are registered and certificated to provide engineering services as specialized services company.
Welcome to the Engineer’s home ALTEN!

Activities:
Critical Thinking: Able to influence the strategic direction of the company by finding opportunities in large, rich data sets and crafting and implementing data driven strategies that fuel growth including cost savings, revenue, and profit.
Modeling: Assessments, and evaluating impacts of missing/unusable data, design and select features, develop, and implement statistical/predictive models using edge algorithms on diverse sources of data and testing and validation of models.
Analytics: Use analytical applications and languages like Python, Alteryx, and tools in GCP to identify trends and relationships between different pieces of data, draw appropriate conclusions and translate analytical findings into business strategies or analytics software.
Data Engineering: Experience with crafting ETL processes to source and link data in preparation for Model/Algorithm development. This includes domain expertise of data sets in the environment, third-party data evaluations, data quality
Visualization: Build visualizations to connect disparate data, find patterns and tell engaging stories. This includes both scientific visualization as well as geographic using applications such as QlikSense and GCP Data Products

Skills:
3+ years of experience of practicing statistical methods and their accurate application e.g. ANOVA, principal component analysis, correspondence analysis, k-means clustering, factor analysis, multi-variate analysis, Neural Networks, causal inference, Gaussian regression, etc.
3+ years’ experience with Python, SQL, Cloud (preferably GCP).
3+ years’ Experience with big data technologies such as Azure Data Lake, GCP Big Query, Databricks, Spark, Hadoop, Kafka, SQL and NO-SQL databases, etc.
Good English level: intermediate or advanced (B2)

Education:
Master’s degree in Computer Science, Mathematics, Physics, Electrical Engineering or related field or a combination of education and equivalent experience.

Please, send your CV in English.
Mostrar menos
Reportar",#N/A,Más de 10 000 empleados,Empresa - privada,Administración y consultoría,Investigación y desarrollo,1988,De $1000 a $5000 millones (USD)
33,Tangelo,Data Scientist Sr,Ciudad de México,"¡Hola!
Somos Tangelo. Combinamos la tecnología y el análisis de datos para crear productos financieros con procesos eficientes y enfocados en el usuario.
Somos una compañía diversa, que trabaja en equipo para crear productos financieros modernos e innovadores mientras que expandimos las oportunidades de crédito a aquellos que están fuera del sistema financiero tradicional. Únete a nuestro propósito y descubre cómo puedes maximizar tu potencial en una compañía de rápido crecimiento.

Tus actividades principales como Senior Data Scientist serán:

Desarrollo de modelos de machine learning.
Monitoreo de modelos productivos.
Diseño e implementación de política de riesgo.
Implementación de scores en políticas de riesgo.
Deep dives a los portafolio.
Desarrollo de tableros de control.

¿Qué Buscamos?

Estudios en ciencia de datos, física, matemáticas, Ing. Mecatrónica.
4+ años de experiencia en Data Science, aprendizaje automático, IA, estadística y otras áreas relacionadas.
Dominio de SQL.
Dominio de Python.
Excelentes habilidades de comunicación y capacidad para colaborar y establecer relaciones con usuarios no técnicos.
Sólidos conocimientos de probabilidad y estadística, incluido el diseño experimental, el modelado predictivo (supervisado y no supervisado), la optimización.
Desarrollo de ETLs a través de alguna de las siguientes plataformas, Airflow, Luigi, Kedro, etc.
Experiencia con alguna herramienta de visualización herramientas de visualización de datos. (Tableau, PowerBI, etc.)

Deseable

Conocimiento de Git.
Conocimiento de NoSQL (MongoDB)
Conocimiento de fastapi.
Conocimiento de inferencia causal.
Liderazgo.

En esta empresa no se discrimina por motivos de raza, religión, preferencia sexual, condición física y socioeconómica, ni por ningún otro motivo. Apoyamos la Equidad de Género.
Mostrar menos
Reportar",#N/A,No se sabe,Empresa - privada,#N/A,#N/A,#N/A,Desconocido/no corresponde
34,"Baker Hughes
4.0","Gas Technology Services Data Scientist and Analytics engineer ( Queretaro, MX)",Querétaro,"Gas Technology Services Data Scientist and Analytics engineer, you will be responsible for:
Developing models and algorithms/analytics within assigned projects taking care of the technical standpoint using sound engineering principles
following each aspect of development ranging from requirement gathering to conceptual design, to verification, validation and implementation
Ensuring the use of state-of-the-art methodologies to carry out the job productively.
Preparing all relevant technical documentation related to development phase always consistent with engineering policies and procedures.
Interfacing with the rest of the Digital and Managed Services group, ensuring the work is aligned.
Being a team player, shares the work to make the team successful and cares about growing
Interfacing with appropriate engineering teams, relevant Product/ Program Manager and Product Owner as well as partners
Working in a cross-functional environment to ensure the deliverables aligns with Customer and business needs and deliverables.
Supporting Operations and OTR teams during first installations/applications of new products, tackling all technical issues
Fuel your passion, To be successful in this role you will:
Have work experience e.g. data acquisition & processing for industrial purposes, controls, data analysis & statistics
Have knowledge of data mining, pattern recognition, machine learning
Have knowledge of Python programming
Able for technical work: able to identify and explore innovative solutions and figure out technology transfer.
Be fluent in English (Italian knowledge is also preferred)
Able to able to shape ideas into real applications paying attention to details, taking responsibility of each development.
Be a team player with excellent interpersonal & communication skills.
Be able to work in a culturally diverse, multi-location, with remote teams located in different time zones.
Be available to travel as required
About Us:
We are an energy technology company that provides solutions to energy and industrial customers worldwide. Built on a century of experience and conducting business in over 120 countries, our innovative technologies and services are taking energy forward – making it safer, cleaner and more efficient for people and the planet.

Join Us:
Are you seeking an opportunity to make a real difference in a company that values innovation and progress? Join us and become part of a team of people who will challenge and inspire you! Let’s come together and take energy forward.

Baker Hughes Company is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.
Mostrar menos
Reportar",#N/A,Más de 10 000 empleados,Empresa - pública,"Energía, minería e infraestructura pública",Electricidad y Servicios públicos,1907,Más de $10 000 millones (USD)
35,StoriCard,Data Analytics Engineer,Ciudad de México,"The Role
Stori's Analytics Engineering team’s primary objective is to build easy-to-use, trustworthy, and reliable data products to serve the analytical needs across different product and business functions.
Analytics Engineer in Stori solve problems that get in the way of doing analysis. In this role, you are essential to our data strategy in reducing burdens associated with our data models and analytical tools and platforms. You will help business partners to diagnose what is getting in the way of efficient analytics today. Identifying and addressing the root causes will allow Stori to make quick, data informed decisions by removing bottlenecks and automating each stage of the data ops lifecycle. One day, this might mean modeling our core data in a better way. The next day, it might mean onboarding a new analytics tool. It can also mean working with source data teams to map out the right data structure to get to a single source of truth on vital business constructs. Our data analysts are critical to our analytics success because they enable our data analysts and data scientists to answer business questions using our data.
Your impact
Design and develop the batch data transformation pipelines to merge and transform large raw datasets to analytical datasets that users can quickly derive the insights from.
Work with product managers and operation teams to understand the business pipeline, review new products and identify related data sources to provide prescriptive analysis.
Perform the data validation on complex business logic, and reconciliation across different data sources.
Identify, understand, analyze, and interpret trends or patterns in complex data sets.
Perform data quality monitoring to maintain and assure data integrity.
Develop the data dictionary and training to educate the business partners on how to best use and interpret the data.
Solve data issues and perform root cause analysis to proactively resolve product and operational issues.
What we are looking for
A bachelor degree or foreign equivalent in Computer Science, Electronic Engineer, Mathematics, Information System, or Statistics.
A professional with at least 2 years of experience with Data Analytics.
Preferably 2+ years of Python development experience.
Preferably 2+ years of SQL knowledge (including the experience of writing queries) and experience with relational databases.
Experience with modern reporting and data visualization tools (QuickSight, Tableau, Looker, etc.)
Strong analytical skills with the ability to collect, organize and analyze significant amounts of information with attention to detail and accuracy.
Technical expertise in data models, database utilization, data mining, and segmentation techniques.
Good presentation and communication skills, ability to explain complex technical problems in simple words.
Tipo de puesto: Tiempo completo
Salario: $900.00 - $1,000.00 al día
Horario:
Lunes a viernes
Prestaciones:
Horarios flexibles
Seguro de gastos médicos mayores
Vacaciones adicionales o permisos con goce de sueldo
Vales de despensa
Tipos de compensaciones:
Bono de productividad
Experiencia:
Data engineer: 2 años (Obligatorio)
Idioma:
inglés avanzado (Obligatorio)
Lugar de trabajo: remoto híbrido en 06600, Ciudad de México
Mostrar menos
Reportar","$285,000 /año (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
36,"Spectrum Effect
5.0",Wireless Communication Data Scientist,Monterrey,"Wireless Communication Data Scientist
Are you passionate about uncovering valuable insights from complex data sets? Do you want to work in an organization where you are empowered and can make a difference? Do you want to be part of an exciting scale-up with massive upside potential? Come and join us at Spectrum Effect!
Spectrum Effect’s mission is to solve the most challenging and costly problems in the wireless industry through innovation and automation. Our team is passionate about creating disruptive technologies, developing solutions with engineering excellence, and delivering substantial value to our customers. Protected by 30 patents and deployed by leading mobile operators across the globe, our Spectrum-NET software solution performs automated ML-driven analysis of radio access networks. Spectrum-NET is a cloud-native, horizontally scalable solution based on a Kubernetes-orchestrated microservices architecture.
Our 50+ team, located in San Pedro Garza García, México, enjoys ownership in our private company through stock options and very competitive salaries. This is an amazing opportunity to join an emerging leader in the ML-driven automation space and make a profound impact on the mobile industry.
As a data scientist, you will help create transformational technologies and solutions that automatically detect, characterize, aggregate, classify and locate anomalous interference sources within mobile wireless operator networks. Responsibilities shall include analyzing wireless network performance data in support of product feature design and algorithm design for the Spectrum-NET wireless analytics product, and assisting with analysis of performance of new product features in live operator networks. Multiple openings for this position are available and candidates from junior to more senior levels of experience will be considered.
Responsibilities
Analyze measurement data from cellular networks to support development of and improvements to Spectrum-NET Machine Learning features.
Develop supervised and unsupervised ML solutions that will improve Spectrum-NET. Including the design of methodologies, experiment tracking, KPI measurements, results communication and visualization.
Execute quick experiments and PoCs to find new areas of opportunity.
Communicate findings and results with the aid of visualization and storytelling.
Work with a multi-modal team of software developers and wireless communication system engineers to bring ideas to fruition and provide value to our customers.
Write technical documents and papers specifying technical requirements, solutions, and product goals.
What you need to have:
3+ years of experience working in data science or analytics.
Bachelors of science degree or higher in data science, computer science, applied statistics, electrical engineering, or mathematics.
Demonstrated knowledge with Machine Learning techniques and applications including methods for classification, prediction, clustering and generative models.
Proficiency in Python and Python libraries such as Pandas, Numpy, Scikit-learn, Tensorflow, Keras, Torch, Matplotlib, Seaborn, etc.
Familiarity with cellular wireless communication systems concepts (NR, LTE, UMTS) and signal processing for wireless systems is considered a plus.
Strong analytical skills in the areas of critical thinking, data analysis, research and problem solving.
Excellent written and communications skills in English.
Eligible to work in Mexico and travel internationally (<10%). This job opening is for our Monterrey, Mexico office.
Thinking about advancing your career to the next level? Do you have what it takes to successfully lead a software organization?
Apply now! Nothing ventured, nothing gained.
Mostrar menos
Reportar",#N/A,De 1 a 50 empleados,Empresa - privada,#N/A,#N/A,#N/A,Desconocido/no corresponde
37,Sales-Hub,Data Scientist,Mexicali,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.
In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.
Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development teams
Requirements and skills
Proven experience as a Data Scientist or Data Analyst
Experience in data mining
Understanding of machine-learning and operations research
Knowledge of R, SQL and Python; familiarity with Scala, Java or C++ is an asset
Experience using business intelligence tools (e.g. Tableau) and data frameworks (e.g. Hadoop)
Analytical mind and business acumen
Strong math skills (e.g. statistics, algebra)
Problem-solving aptitude
Excellent communication and presentation skills
BSc/BA in Computer Science, Engineering or relevant field; graduate degree in Data Science or other quantitative field is preferred
Mostrar menos
Reportar",#N/A,De 201 a 500 empleados,Empresa - privada,#N/A,#N/A,#N/A,Desconocido/no corresponde
38,"Klar
3.0",Senior Data Scientist,Ciudad de México,"About KLAR
Let’s start with the basics! Klar is a Mexican fintech startup whose mission is to democratize and revolutionize the way in which financial services have been delivered so far in Mexico, especially since half of the population doesn’t have a bank account. We offer a rich set of products across our debit and credit offers and the future is bright for Klar! We have an exciting and ambitious roadmap to bring more features to our products so that we can better serve our users. We have served more than 2 million users since our launch in 2019!
We are also proud to have been certified in 2023 as a “Great Place to Work” in Mexico - we’ve worked hard to make that happen and will continue to make bigger strides in the future! Sound like a place you’d like to be?

Our people
If you join us at Klar, you’ll be welcomed into a team which is rich in many talents and we are very proud! With our head office in Mexico City, and remote tech hubs in Berlin and Argentina, we are always learning something new about another culture or language. With so many people from different backgrounds and walks of life (parents, LGBTQ+, neurodivergence), you’ll definitely find your people here!

Our values

Ownership - We own our successes & our failures as a team.
Excellence - We do everything to the best of our ability & always seek to achieve a new level of excellence in our work.
Inclusion - We believe we are stronger together and actively work to promote a safe, diverse, inclusive, and respectful culture.
Customer Obsession - We understand the value Klar can bring to its customers & it’s always at the forefront of our decisions.
Klarity - We communicate clearly & with authenticity. It’s in our name & it’s what we do.
The position and your daily adventures
This is a full-time position based in our Mexico City office with a hybrid model, therefore we will expect to see you in the office 2-3 times a week.

What you can expect:
Collect, clean, and preprocess large datasets from various sources
Develop and deploy predictive models using machine learning in production environments
Analyze and interpret complex data to identify trends, patterns, and insights
Collaborate with cross-functional teams to identify opportunities for data-driven insights and solutions
Communicate findings and insights to technical and non-technical stakeholders
Optimize algorithms and models to improve performance and accuracy
You and your assets
What we are looking for:
Bachelor's or Master's degree in Computer Science, Statistics, Mathematics, or a related field
Strong proficiency in Python programming language
5+ years of experience in data science, machine learning, or related field
Experience with machine learning libraries such as scikit-learn, xgboost, TensorFlow, Keras, and Pytorch
Proficiency in data analysis, visualization, and manipulation tools such as Pandas, Matplotlib, and Seaborn
Experience with SQL
Strong problem-solving skills and the ability to think creatively
Excellent communication skills and the ability to communicate complex ideas to technical and non-technical stakeholders
Our offer to you
Competitive salary based on performance and experience
Chance of earning Klar stock options
15 days of paid vacation per year; plus extended maternity and paternity leaves
Vacation premium
30 days of Christmas bonus
Medical Insurance
Computer devices
Gympass subscription to offer mental and physical health
A modern centrally located office in Mexico City with free drinks, snacks, and regular social events
International work environment with amazing and highly skilled people
A world class team that helps you evolve your skills in areas you're interested in
Klar is a safe place for everyone!

We trust our highly skilled and diverse team and we’re committed to creating a welcoming and inclusive environment for new talents to flourish. We value diversity and welcome all applications regardless of gender, nationality, ethnic and social origin, religion/belief, physical abilities, age, sexual orientation and identity.
Mostrar menos
Reportar",#N/A,De 1 a 50 empleados,Trabajador independiente,Bienes raíces,Bienes raíces,#N/A,De $1 a $5 millones (USD)
39,"Etsy
4.5",Senior Data Scientist,Ciudad de México,"Company Description

Etsy is the global marketplace for unique and creative goods. We build, power, and evolve the tools and technologies that connect millions of entrepreneurs with millions of buyers around the world. As an Etsy Inc. employee, whether a team member of Etsy, Reverb, or Depop, you will tackle unique, meaningful, and large-scale problems alongside passionate coworkers, all the while making a rewarding impact and Keeping Commerce Human.

Job Description

What’s the role?
This is a full-time position reporting to the Manager, Product Analytics. In addition to salary, you will also be eligible for an equity package, an annual performance bonus, and our competitive benefits that support you and your family as part of your total rewards package at Etsy. For this role, we are considering candidates based in Mexico who are either remote, flex, or office-based. Etsy offers different work modes to meet the variety of needs and preferences of our team. Learn more about our Flex and Office-based work modes and workplace safety policies here.
What’s this team like at Etsy?
Data scientists at Etsy use rigorous methods to generate insights that inform product, engineering, and business decisions across the company. We collaborate with partner teams through all stages of development: actively uncovering opportunity areas, crafting experiments to test hypotheses, analyzing the impact of our efforts, and highlighting takeaways
Learning new skills and techniques is not only a requirement but a perk of the job! We are always looking for opportunities to grow. Our mission is to guide our partner teams with data and insights and tell the story of how we attract and retain our users — to teams, to senior management, and to the community
What does the day-to-day look like?
Partner with the Commit team, whose focus is motivating buyers to convert with relevant information at crucial moments in the customer journey.
Play a meaningful role in deciding how we can best engage and grow Etsy users through analysis of behavioral and transactional data.
Design and analyze rigorous experiments, help teams set great hypotheses, and deliver robust analysis of experiment results.
Transform raw data into meaningful and impactful analysis characterized by strong data governance, technique transparency, and clear documentation.
Raise the skill level of the entire analytics team through the creation of outstanding work, mentorship, and the introduction of better practices, processes, and tools.
Of course, this is just a sample of the kinds of work this role will require! You should assume that your role will encompass other tasks, too, and that your job duties and responsibilities may change from time to time at Etsy's discretion, or otherwise applicable with local law.

Qualifications

Qualities that will help you thrive in this role are:
4+ years experience as a data scientist or data analyst in which you have independently extracted meaning from big data sets with little engineering support.
Fluency in both English and Spanish
Mastery of SQL and proficiency in R/Python. Passionate to try new approaches to advance your technical skills. Bonus points for experience with Spark and Looker, Tableau, or other data visualization software.
Deep understanding of experimentation theory and practice.
Specialize in sophisticated analyses and regularly use statistical methods in your work
Distill highly complex problems into narratives that are concise, actionable, and memorable, and express your recommendations with both conviction and finesse.
Guided product teams to identify high-impact opportunities, set meaningful goals against key outcomes, and driven decisions.
Passionate about reproducible work and have picked up tools to this end.
Acted as a mentor, guiding others to make their own work better and more efficient.

Additional Information

What's Next
If you're interested in joining the team at Etsy, please share your resume with us and feel free to include a cover letter if you'd like. As we hope you've seen already, Etsy is a place that values individuality and variety. We don't want you to be like everyone else - we want you to be like you! So tell us what you're all about.
Our Promise
At Etsy, we believe that a diverse, equitable and inclusive workplace furthers relevance, resilience, and longevity. We encourage people from all backgrounds, ages, abilities, and experiences to apply. Etsy is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. If, due to a disability, you need an accommodation during any part of the interview process, please let your recruiter know. While Etsy supports visa sponsorship, sponsorship opportunities may be limited to certain roles and skills.
Mostrar menos
Reportar",#N/A,De 1001 a 5000 empleados,Empresa - pública,Ventas al mayoreo y al menudeo,Otros tipos de tiendas minoristas,2005,De $1000 a $5000 millones (USD)
